return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression_query,Bitcomp,Telco-93-onnet_mins_p1,104857600,2.654208,1.082975,f32,25600,10
0,"","",decompression,LZ4,PanCreactomy1-8-line_srvc_cnt,104857600,31.967520,1.345570,f32,25600,10
0,"","",decompression,zstd,Physicians-8-line_srvc_cnt,104857600,51.701920,2.410589,f32,25600,6
0,"","",decompression,BitcompSparse,arade4,209715200,3.044384,0.998294,f64,25600,2
0,"","",decompression,Bitcomp,bitcoin_f,209715200,3.135616,0.998294,f64,25600,2
0,"","",decompression_query,Thrust,PanCreactomy1-8-line_srvc_cnt,104857600,4.799232,1.000000,f32,25600,6
0,"","",decompression_query,Snappy,CMSprovider-8-line_srvc_cnt,104857600,33.704960,1.703899,f32,25600,2
0,"","",decompression,Deflate,ssd_hdd_benchmarks_f,209715200,210.616318,1.945205,f64,25600,2
0,"","",decompression_query,Deflate,spain_gas_price_f64,209715200,218.103271,1.328936,f64,25600,7
0,27.143984,29.847539,decompression_query,GALP,basel_temp_f,209715200,1.323584,2.146804,f64,25600,2
0,"","",decompression_query,Bitcomp,neon_pm10_dust,209715200,9.138720,1.638005,f64,25600,7
0,"","",decompression,zstd,Telco-159-total_outgoing_min_p4,104857600,30.024639,1.706232,f32,25600,8
0,"","",decompression,Snappy,neon_bio_temp_c,209715200,57.124191,2.200886,f64,25600,9
0,"","",decompression_query,LZ4,neon_wind_dir,209715200,39.215744,1.917601,f64,25600,7
0,"","",decompression_query,GDeflate,basel_temp_f,209715200,36.139042,1.067053,f64,25600,3
0,"","",decompression,Bitcomp,medicare1,209715200,7.172128,1.108488,f64,25600,1
0,"","",decompression_query,BitcompSparse,gov31,209715200,3.044896,14.047633,f64,25600,9
0,"","",decompression_query,Snappy,bitcoin_transactions_f,209715200,70.116928,1.180495,f64,25600,4
0,"","",decompression_query,Thrust,stocks_uk,209715200,4.960736,1.000000,f64,25600,6
0,"","",decompression_query,Bitcomp,spain_gas_price_f64,209715200,4.486272,0.998367,f64,25600,5
0,6.842227,0.000000,decompression,ALP,stocks_usa_c,209715200,1.810080,9.237657,f64,25600,6
0,"","",decompression,zstd,phone_gyro_f64,209715200,75.719391,2.323507,f64,25600,4
0,"","",decompression,Bitcomp,nyc29,209715200,7.712736,1.182064,f64,25600,6
0,8.610977,12.376680,decompression,GALP,Telco-113-rechrg_total_load_p4,104857600,1.010656,3.283459,f32,25600,2
0,25.273086,139.151992,decompression,GALP,cms1,209715200,3.236896,1.754373,f64,25600,1
0,"","",decompression_query,LZ4,gov10,209715200,45.484959,1.682712,f64,25600,8
0,"","",decompression,LZ4,Telco-112-rechrg_total_load_p3,104857600,29.937281,1.504148,f32,25600,1
0,"","",decompression,Bitcomp,Telco-171-total_outgoing_rev_p1,104857600,1.920288,1.008608,f32,25600,6
0,"","",decompression,BitcompSparse,gov10,209715200,4.289376,1.105199,f64,25600,8
0,"","",decompression_query,GDeflate,Telco-95-onnet_mins_p3,104857600,17.535072,1.558195,f32,25600,2
0,9.646797,12.944609,decompression_query,GALP,Telco-112-rechrg_total_load_p3,104857600,0.575232,2.960698,f32,25600,10
0,"","",decompression_query,Bitcomp,cms25,209715200,4.889376,1.000103,f64,25600,1
0,"","",decompression,LZ4,Telco-93-onnet_mins_p1,104857600,20.256321,1.148837,f32,25600,9
0,12.884258,7.710117,decompression_query,GALP,neon_dew_point_temp,209715200,1.314240,4.630116,f64,25600,4
